session_slug,track,solver,instance,event_index,elapsed,objective
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,18,68.05416941642761,205867980.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,19,73.87541913986206,216738173.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,20,81.81235265731812,221244009.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,21,82.15196228027344,227017723.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,22,94.92164301872253,237095054.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,23,98.98422574996948,247806962.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,24,102.9374771118164,252464719.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,25,117.9729573726654,274002906.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,26,144.07458662986755,280539701.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,27,220.54245448112488,290979089.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,28,312.1929495334625,291758183.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,29,327.4157066345215,296882106.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,30,423.24554109573364,309051537.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,31,538.4360249042511,309694614.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,32,547.7227673530579,310271465.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,0,120.47305154800415,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,1,122.4804515838623,989948.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,2,123.69696998596191,10862067.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,3,128.7356026172638,17647595.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,4,130.96232962608337,24799097.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,5,133.61360883712769,29823376.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,6,134.98807835578918,34060632.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,7,137.84723544120789,36178154.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,8,138.92180800437927,40683990.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,9,142.43485116958618,52505752.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,10,145.04772400856018,85921473.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,11,148.7939257621765,96360861.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,12,151.11007285118103,119856871.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,13,158.1519420146942,121695977.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,14,162.29239559173584,128832050.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,15,167.4711811542511,138909381.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,16,170.84070563316345,145939298.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,17,176.92394161224365,175084803.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,18,180.16308093070984,196583551.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,19,187.24568367004395,197316942.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,20,199.7232255935669,199278446.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,21,213.8487675189972,205749015.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,22,222.19819259643555,208760539.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,23,225.56788539886475,218049533.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,24,238.35263442993164,262245513.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,25,249.14636254310608,283783700.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,26,287.64096450805664,303984949.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,27,337.98586654663086,305082328.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,28,340.7803256511688,308688272.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,29,365.5797381401062,309467366.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-15_c25.xml.lzma,30,399.59641909599304,314585791.0
